offering
"Price::$8,500,000,RentableBuildingArea::9,900 SF,SaleType::Investment or Owner User,NoStories::4,SaleConditions::YearBuilt,PropertyType::Office,Tenancy::Single,BuildingClass::C,ZoningDescription::CCB,LotSize::0.06 AC,APNParcelID::0227-013"
"Price::$1,448,000,LotSize::0.04 AC,SaleType::Investment or Owner User,GrossLeasableArea::2,226 SF,CapRate::4.45%,NoStories::2,PropertyType::Retail,YearBuilt::1954,PropertySubtype::ZoningDescription,BuildingClass::C,APNParcelID::2379-001"
"Price::$2,999,000,LotSize::0.06 AC,SaleType::Investment,GrossLeasableArea::5,655 SF,CapRate::4.97%,NoStories::3,PropertyType::Retail,YearBuilt::1890,PropertySubtype::ZoningDescription,BuildingClass::C,APNParcelID::0847-018"
"Price::$8,280,000,LotSize::0.17 AC,SaleType::Investment,GrossLeasableArea::21,138 SF,CapRate::4.86%,NoStories::2,SaleConditions::Investment Triple Net,YearBuilt::1981,PropertyType::Retail,ZoningDescription::Upper Market, S.F.,PropertySubtype::APNParcelID,BuildingClass::B"
"Price::$2,320,000,LotSize::0.07 AC,SaleType::Investment,GrossLeasableArea::2,687 SF,CapRate::4.02%,NoStories::2,PropertyType::Retail,YearBuilt::1905,PropertySubtype::Storefront Retail/Residential,ZoningDescription::NC2,BuildingClass::B,APNParcelID::1742-024"
"Price::$1,700,000,LotSize::0.04 AC,SaleType::Investment,GrossLeasableArea::4,635 SF,CapRate::3.20%,NoStories::3,PropertyType::Retail,YearBuilt::1906,PropertySubtype::Storefront Retail/Residential,ZoningDescription::RSD,BuildingClass::B,APNParcelID::3704-052"
"Price::$1,499,000,SaleType::Investment or Owner User,UnitSize::2,508 SF,BuildingClass::B,NoUnits::1,Floors::1,TotalBuildingSize::2,508 SF,TypicalFloorSize::2,508 SF,PropertyType::Retail (Condo),YearBuilt::1924,PropertySubtype::Storefront Retail/Residential,LotSize::0.20 AC,UnitSize::2,508 SF,SaleType::Investment or Owner User,Price::$1,499,000,CapRate::7.34%,PriceSF::$597.69,NOI::$110,000,CondoUse::Retail,SaleConditions::Build to Suit"
"Price::$2,000,000,GrossLeasableArea::1,800 SF,SaleType::Owner User,NoStories::3,PropertyType::Retail,YearBuilt::1916,PropertySubtype::Freestanding,ZoningDescription::RC4, San Francisco,BuildingClass::C,APNParcelID::0670-018,LotSize::0.02 AC"
"Price::$4,500,000,RentableBuildingArea::3,934 SF,SaleType::Owner User,NoStories::1,PropertyType::Office,YearBuilt::1940,BuildingClass::C,ZoningDescription::NC-1,LotSize::0.09 AC,APNParcelID::7224-002b"
"Price::$6,900,000,GrossLeasableArea::9,120 SF,SaleType::Investment or Owner User,NoStories::4,CapRate::5.00%,YearBuilt::1988,SaleConditions::1031 Exchange,Tenancy::Single,PropertyType::Retail,ZoningDescription::RC-4 , San Francisco,PropertySubtype::APNParcelID,BuildingClass::C,CrossStreets::Polk St"
"Price::$7,500,000,RentableBuildingArea::9,961 SF,SaleType::Investment,NoStories::2,CapRate::5.00%,YearBuilt::1923,PropertyType::Office,ZoningDescription::SOMA NCT,BuildingClass::C,APNParcelID::3754-041,LotSize::0.10 AC"
"Price::$5,750,000,NoStories::2,SaleType::Investment or Owner User,YearBuilt::1923,CapRate::5.20%,ParkingRatio::0.13/1,000 SF,PropertyType::Industrial,NoDriveInGradeLevelDoors::1,BuildingClass::B,ZoningDescription::NCT,LotSize::0.10 AC,APNParcelID::3730-014,RentableBuildingArea::8,000 SF"
"Price::$640,000,BuildingClass::B,UnitSize::779 SF,Floors::1,NoUnits::1,TypicalFloorSize::1,600 SF,TotalBuildingSize::779 SF,YearBuilt::2008,PropertyType::Retail (Condo),LotSize::0.36 AC,PropertySubtype::ParkingRatio,SaleType::Investment,::UnitSize,CondoUse::Office/Retail,Price::$640,000,SaleType::Investment,PriceSF::$821.57,SaleConditions::1031 Exchange"
"Price::$2,399,000,LotSize::0.05 AC,SaleType::Investment,GrossLeasableArea::5,118 SF,CapRate::3.63%,NoStories::3,PropertyType::Retail,YearBuilt::1912,PropertySubtype::Storefront Retail/Residential,ZoningDescription::NC3, San Francisco,BuildingClass::C,APNParcelID::3589-011"
"Price::$5,880,000,GrossLeasableArea::11,500 SF,SaleType::Investment,NoStories::2,CapRate::4.25%,YearBuilt::1947,PropertyType::Retail,ParkingRatio::10/1,000 SF,PropertySubtype::Storefront Retail/Office,ZoningDescription::NC2, San Francisco,BuildingClass::C,APNParcelID::1778-001,LotSize::0.14 AC,CrossStreets::Irving St"
"Price::$3,750,000,LotSize::0.10 AC,SaleType::Investment,GrossLeasableArea::8,522 SF,CapRate::5.90%,NoStories::3,PropertyType::Retail,YearBuilt::1906,PropertySubtype::Storefront Retail/Residential,ZoningDescription::M1,BuildingClass::C,APNParcelID::3961-020"
"Price::$8,500,000,LotSize::0.08 AC,SaleType::Investment,RentableBuildingArea::13,200 SF,CapRate::5.64%,NoStories::4,SaleConditions::1031 Exchange,YearBuilt::1914,PropertyType::Office,ZoningDescription::NC3,BuildingClass::C,APNParcelID::0837-012"
"Price::$4,588,000,GrossLeasableArea::4,860 SF,SaleType::Investment or Owner User,NoStories::4,PropertyType::Retail,YearBuilt::1907,PropertySubtype::Storefront Retail/Residential,ClearCeilingHeight::12 FT,BuildingClass::B,ZoningDescription::C3O,LotSize::0.03 AC,APNParcelID::0269-008"
"Price::$9,750,000,GrossLeasableArea::14,008 SF,SaleType::Investment or Owner User,NoStories::2,CapRate::4.48%,YearBuilt::1919,PropertyType::Retail,ZoningDescription::C2, San Francisco,PropertySubtype::APNParcelID,BuildingClass::C"
"Price::$5,400,000,GrossLeasableArea::7,179 SF,SaleType::Investment,NoStories::3,CapRate::4.67%,YearBuilt::1923,PropertyType::Retail,ParkingRatio::10/1,000 SF,PropertySubtype::Storefront Retail/Office,ZoningDescription::NC-2,BuildingClass::B,APNParcelID::1028-002B,LotSize::0.23 AC"
"Price::$5,700,000,GrossLeasableArea::6,825 SF,SaleType::Investment or Owner User,NoStories::2,PropertyType::Retail,YearBuilt::1900,PropertySubtype::Storefront Retail/Residential,ZoningDescription::NCD,BuildingClass::B,APNParcelID::0543-026A,LotSize::0.08 AC"
"Price::$1,200,000,SaleType::Investment or Owner User,UnitSize::714 SF,BuildingClass::B,NoUnits::1,Floors::4,TotalBuildingSize::714 SF,TypicalFloorSize::1,252 SF,PropertyType::Retail (Condo),YearBuilt::1996,PropertySubtype::Storefront Retail/Residential,LotSize::0.09 AC,UnitSize::714 SF,SaleType::Investment or Owner User,Price::$1,200,000,CapRate::5.00%,PriceSF::$1,680.67,NOI::$60,000,CondoUse::Office/Retail"
